iter	Logloss
0	0.6922627875
1	0.691390617
2	0.6905543095
3	0.6897606211
4	0.6889692703
5	0.6881797522
6	0.6874173324
7	0.6866627888
8	0.6859260528
9	0.6851984461
10	0.6844796342
11	0.6837673793
12	0.6830581868
13	0.6823900155
14	0.6817147818
15	0.6810647467
16	0.6804349064
17	0.6798229649
18	0.6791951556
19	0.6786010336
20	0.6780189138
21	0.677433786
22	0.6768583092
23	0.6762962623
24	0.6757796604
25	0.6752629691
26	0.6747369818
27	0.6742364359
28	0.673735524
29	0.6732632792
30	0.6727732561
31	0.672306408
32	0.6718403105
33	0.6713724574
34	0.6709258778
35	0.6705030828
36	0.6700777859
37	0.6696767494
38	0.669251223
39	0.6688538953
40	0.6684544939
41	0.6680510721
42	0.667672526
43	0.667287763
44	0.6669347151
45	0.6665810192
46	0.6662248062
47	0.6658904826
48	0.6655746607
49	0.6652541634
50	0.6649322464
51	0.6646069637
52	0.6642864194
53	0.6639926735
54	0.6636779131
55	0.6633730064
56	0.6630784551
57	0.6627968493
58	0.662512957
59	0.662236956
60	0.6619710528
61	0.6617060928
62	0.6614501199
63	0.6611920601
64	0.660936307
65	0.6606899342
66	0.6604544905
67	0.6602102055
68	0.6599658182
69	0.6597427602
70	0.6595243479
71	0.6593049423
72	0.6590846475
73	0.6588672439
74	0.6586568711
75	0.6584587902
76	0.6582660752
77	0.6580794849
78	0.6578759137
79	0.6576797614
80	0.6574995272
81	0.6573287178
82	0.6571541214
83	0.6569824197
84	0.6568160575
85	0.6566496788
86	0.6564798158
87	0.6563194065
88	0.6561589317
89	0.6560144285
90	0.6558601923
91	0.655703727
92	0.6555655037
93	0.6554236792
94	0.6552830513
95	0.6551454636
96	0.6550090689
97	0.6548850881
98	0.6547528711
99	0.6546222652
100	0.6544975157
101	0.6543760058
102	0.6542578264
103	0.654152149
104	0.6540327517
105	0.6539288683
106	0.6538406908
107	0.6537281082
108	0.653617392
109	0.65351055
110	0.653402767
111	0.653296366
112	0.653188309
113	0.653086853
114	0.6529896437
115	0.652896454
116	0.6528051298
117	0.6527102151
118	0.6526241759
119	0.6525339574
120	0.6524434434
121	0.6523515034
122	0.6522648404
123	0.6521799389
124	0.6520947178
125	0.6520182072
126	0.6519407292
127	0.651859965
128	0.651784393
129	0.6517145412
130	0.651639499
131	0.6515565802
132	0.651484384
133	0.6514139778
134	0.6513430067
135	0.6512703591
136	0.6512031116
137	0.6511274369
138	0.6510660896
139	0.6509934438
140	0.6509253773
141	0.6508618313
142	0.6507946302
