iter	Passed	Remaining
0	3	3605
1	6	3150
2	9	3027
3	11	2967
4	15	2995
5	17	2974
6	21	2998
7	23	2956
8	26	2908
9	29	2878
10	32	2884
11	35	2884
12	37	2865
13	40	2852
14	43	2874
15	46	2866
16	49	2856
17	52	2857
18	55	2846
19	58	2851
20	60	2843
21	63	2836
22	66	2840
23	69	2834
24	72	2821
25	75	2827
26	78	2822
27	80	2810
28	83	2810
29	87	2813
30	89	2799
31	92	2788
32	94	2783
33	98	2786
34	101	2785
35	103	2779
36	107	2787
37	109	2783
38	112	2782
39	115	2774
40	118	2773
41	121	2771
42	124	2764
43	127	2772
44	130	2770
45	133	2762
46	136	2757
47	138	2756
48	141	2752
49	144	2742
50	147	2742
51	150	2739
52	153	2736
53	156	2734
54	158	2726
55	161	2725
56	164	2718
57	167	2716
58	170	2711
59	172	2709
60	175	2708
61	178	2707
62	181	2701
63	184	2698
64	187	2696
65	190	2700
66	193	2696
67	196	2694
68	199	2692
69	202	2691
70	205	2686
71	208	2685
72	211	2683
73	214	2681
74	217	2678
75	219	2673
76	223	2675
77	226	2671
78	228	2667
79	231	2662
80	234	2659
81	237	2656
82	240	2651
83	243	2652
84	245	2647
85	248	2642
86	251	2636
87	254	2633
88	256	2630
89	259	2624
90	262	2622
91	265	2623
92	268	2619
93	271	2619
94	275	2620
95	277	2615
96	280	2612
97	283	2613
98	286	2610
99	289	2606
100	292	2604
101	295	2603
102	298	2603
103	301	2597
104	304	2594
105	307	2593
106	309	2587
107	313	2585
108	315	2582
109	318	2580
110	321	2576
111	324	2572
112	327	2568
113	330	2565
114	332	2560
115	335	2557
116	338	2555
117	341	2550
118	343	2546
119	346	2543
120	349	2541
121	352	2538
122	355	2534
123	357	2528
124	361	2528
125	363	2523
126	366	2521
127	369	2515
128	372	2514
129	375	2514
130	378	2511
131	381	2506
132	384	2507
133	387	2504
134	390	2505
135	394	2504
136	397	2501
137	399	2497
138	402	2495
139	405	2492
140	408	2489
141	411	2486
142	414	2483
143	417	2479
144	420	2476
145	422	2472
146	426	2472
147	429	2471
148	432	2468
149	434	2464
150	438	2463
151	440	2459
152	443	2454
153	446	2450
154	448	2447
155	452	2446
156	455	2446
157	458	2442
158	461	2439
159	463	2435
160	467	2434
161	469	2430
162	472	2427
163	476	2426
164	478	2423
165	481	2420
166	485	2420
167	488	2420
168	491	2415
169	494	2412
170	497	2411
171	500	2407
172	503	2404
173	505	2401
174	508	2398
175	511	2396
176	514	2392
177	517	2390
178	520	2387
179	523	2383
180	525	2380
181	528	2376
182	531	2374
183	534	2371
184	537	2368
185	540	2364
186	543	2362
187	546	2359
188	549	2356
189	552	2354
190	555	2351
191	558	2350
192	561	2348
193	564	2344
194	567	2342
195	570	2340
196	573	2336
197	576	2333
198	579	2331
199	582	2328
200	585	2325
201	588	2322
202	591	2320
203	594	2317
204	596	2315
205	600	2312
206	602	2309
207	605	2306
208	608	2304
209	611	2302
210	614	2298
211	617	2295
212	621	2294
213	624	2292
214	627	2289
215	630	2287
216	633	2287
217	636	2284
218	639	2280
219	642	2277
220	645	2275
221	647	2270
222	650	2267
223	653	2263
224	656	2261
225	659	2257
226	662	2254
227	664	2251
228	668	2249
229	670	2245
230	673	2241
231	676	2239
232	679	2236
233	682	2234
234	685	2230
235	688	2227
236	691	2224
237	694	2222
238	697	2220
239	700	2217
240	703	2214
241	706	2214
242	709	2211
243	712	2208
244	715	2204
245	718	2201
246	721	2198
247	724	2196
248	727	2194
249	730	2192
250	733	2189
251	737	2187
252	740	2184
253	742	2181
254	746	2179
255	748	2176
256	752	2174
257	755	2171
258	758	2169
259	760	2165
260	764	2163
261	766	2159
262	769	2156
263	772	2152
264	774	2148
265	776	2143
266	779	2140
267	782	2138
268	785	2134
269	788	2131
270	791	2128
271	794	2126
272	797	2123
273	800	2120
274	803	2117
275	806	2114
276	809	2111
277	811	2108
278	814	2104
279	817	2102
280	820	2099
281	823	2096
282	826	2093
283	829	2090
284	831	2087
285	834	2083
286	837	2081
287	840	2078
288	843	2075
289	846	2072
290	849	2070
291	852	2066
292	855	2063
293	858	2060
294	860	2057
295	863	2054
296	866	2050
297	869	2047
298	871	2044
299	874	2041
300	877	2037
301	880	2035
302	884	2033
303	886	2030
304	889	2027
305	893	2025
306	896	2022
307	899	2020
308	902	2017
309	905	2014
310	907	2010
311	910	2006
312	913	2004
313	915	2000
314	918	1997
315	921	1994
316	924	1991
317	927	1988
318	929	1985
319	932	1981
320	935	1978
321	938	1976
322	941	1973
323	944	1969
324	947	1967
325	949	1964
326	952	1960
327	956	1958
328	959	1956
329	961	1952
330	964	1948
331	967	1945
332	969	1942
333	973	1940
334	975	1936
335	978	1933
336	980	1929
337	983	1926
338	986	1923
339	989	1920
340	992	1917
341	994	1913
342	997	1910
343	1000	1907
344	1003	1904
345	1006	1902
346	1008	1898
347	1011	1895
348	1015	1893
349	1017	1890
350	1020	1887
351	1023	1883
352	1026	1882
353	1029	1878
354	1032	1875
355	1034	1872
356	1037	1869
357	1040	1866
358	1043	1862
359	1046	1859
360	1049	1856
361	1051	1854
362	1054	1850
363	1057	1847
364	1060	1844
365	1063	1842
366	1066	1839
367	1069	1836
368	1072	1833
369	1075	1830
370	1077	1827
371	1080	1824
372	1083	1821
373	1085	1817
374	1089	1815
375	1092	1812
376	1095	1810
377	1098	1807
378	1101	1804
379	1103	1801
380	1107	1798
381	1110	1796
382	1113	1793
383	1116	1790
384	1118	1787
385	1121	1784
386	1124	1780
387	1127	1777
388	1130	1775
389	1133	1772
390	1136	1769
391	1139	1767
392	1142	1764
393	1145	1761
394	1148	1758
395	1151	1755
396	1153	1752
397	1156	1748
398	1159	1745
399	1161	1742
400	1164	1739
401	1167	1736
402	1170	1733
403	1173	1730
404	1175	1727
405	1178	1724
406	1182	1722
407	1185	1719
408	1187	1716
409	1190	1713
410	1193	1710
411	1196	1707
412	1200	1705
413	1203	1703
414	1206	1701
415	1209	1698
416	1213	1696
417	1216	1693
418	1219	1690
419	1226	1693
420	1230	1691
421	1234	1690
422	1238	1689
423	1241	1686
424	1244	1684
425	1247	1681
426	1250	1678
427	1253	1675
428	1256	1672
429	1259	1668
430	1262	1666
431	1265	1663
432	1268	1661
433	1271	1658
434	1274	1655
435	1277	1652
436	1280	1649
437	1284	1647
438	1286	1644
439	1289	1641
440	1293	1639
441	1296	1636
442	1299	1633
443	1301	1630
444	1305	1627
445	1308	1625
446	1311	1622
447	1314	1619
448	1317	1616
449	1319	1613
450	1322	1610
451	1325	1607
452	1328	1604
453	1331	1601
454	1334	1598
455	1338	1596
456	1341	1593
457	1344	1591
458	1347	1588
459	1351	1586
460	1354	1583
461	1357	1581
462	1360	1578
463	1363	1575
464	1366	1572
465	1370	1570
466	1373	1567
467	1375	1563
468	1379	1561
469	1382	1558
470	1385	1556
471	1388	1552
472	1390	1549
473	1393	1546
474	1396	1542
475	1399	1540
476	1401	1536
477	1404	1533
478	1407	1530
479	1410	1528
480	1413	1525
481	1416	1522
482	1419	1519
483	1421	1515
484	1425	1513
485	1427	1510
486	1430	1507
487	1433	1504
488	1437	1501
489	1440	1498
490	1442	1495
491	1445	1492
492	1448	1490
493	1451	1487
494	1455	1484
495	1457	1481
496	1460	1478
497	1462	1474
498	1465	1471
499	1468	1468
500	1470	1465
501	1473	1461
502	1476	1458
503	1479	1455
504	1481	1452
505	1484	1449
506	1487	1446
507	1490	1443
508	1494	1441
509	1497	1439
510	1501	1437
511	1505	1434
512	1508	1431
513	1510	1428
514	1513	1425
515	1516	1422
516	1519	1419
517	1522	1416
518	1525	1413
519	1528	1410
520	1531	1408
521	1535	1405
522	1537	1402
523	1540	1399
524	1543	1396
525	1546	1393
526	1549	1390
527	1552	1387
528	1555	1385
529	1558	1382
530	1561	1379
531	1564	1376
532	1567	1373
533	1570	1370
534	1573	1367
535	1576	1365
536	1579	1362
537	1582	1359
538	1585	1355
539	1588	1353
540	1591	1350
541	1594	1347
542	1597	1344
543	1600	1341
544	1603	1338
545	1606	1335
546	1609	1332
547	1612	1329
548	1615	1326
549	1618	1324
550	1621	1321
551	1624	1318
552	1626	1314
553	1629	1312
554	1632	1309
555	1636	1306
556	1639	1304
557	1642	1301
558	1645	1298
559	1649	1295
560	1651	1292
561	1655	1290
562	1657	1286
563	1660	1284
564	1664	1281
565	1667	1278
566	1670	1275
567	1673	1273
568	1676	1270
569	1679	1266
570	1682	1263
571	1684	1260
572	1687	1257
573	1690	1254
574	1693	1251
575	1695	1248
576	1698	1245
577	1701	1242
578	1704	1239
579	1706	1235
580	1709	1232
581	1712	1229
582	1715	1226
583	1718	1224
584	1721	1221
585	1724	1218
586	1727	1215
587	1730	1212
588	1733	1209
589	1735	1206
590	1739	1203
591	1742	1200
592	1745	1197
593	1748	1194
594	1751	1192
595	1754	1189
596	1757	1186
597	1760	1183
598	1763	1180
599	1766	1177
600	1768	1174
601	1771	1171
602	1773	1167
603	1776	1164
604	1779	1161
